age,budget_per_person_daily,city_you_resided_in,travel_group_composition,types_of_attractions,places_visited_in_the_uae,season
53,36,Fujairah,9,Landmark,Dubai Creek,Summer
87,748,Ajman,2,Shopping,Dubai Mall,Winter
23,233,Ras Al Khaimah,8,Kids,Dreamland Aqua Park,Summer
81,1044,Ras Al Khaimah,1,Shopping,Mall of the Emirates,Winter
20,251,Umm Al Qaiwain,2,Kids,Ski Dubai,Winter
12,465,Dubai,6,Kids,Kidzania,Summer
47,610,Sharjah,4,Kids,Ferrari World,Summer
11,648,Sharjah,2,Kids,Ferrari World,Winter
27,595,Dubai,5,Landmark,Louvre Abu Dhabi,Summer
4,406,Umm Al Qaiwain,4,Kids,Legoland Dubai,Winter
73,140,Dubai,3,Landmark,Dubai Museum at Al Fahidi Fort,Winter
45,50,Sharjah,2,Historical,Sharjah Museum of Islamic Civilization,Winter
47,179,Fujairah,8,Landmark,Dubai Frame,Winter
30,374,Abu Dhabi,10,Kids,Dreamland Aqua Park,Winter
22,214,Sharjah,1,Landmark,Dubai Frame,Winter
20,267,Fujairah,5,Kids,Ski Dubai,Summer
28,113,Umm Al Qaiwain,5,Kids,Butterfly Garden,Winter
4,374,Fujairah,5,Kids,Warner Bros World,Summer
46,256,Abu Dhabi,1,Historical,Sharjah Art Museum,Winter
15,58,Sharjah,4,Kids,Childrens City,Winter
86,3740,Fujairah,3,Shopping,Dubai Mall,Summer
18,48,Ras Al Khaimah,10,Landmark,Jumeirah Mosque,Summer
31,112,Fujairah,6,Kids,Sharjah Aquarium,Winter
47,108,Umm Al Qaiwain,9,Outdoor,Al Ain Zoo,Summer
35,131,Umm Al Qaiwain,4,Landmark,Saadiyat Island,Winter
14,228,Umm Al Qaiwain,3,Kids,OliOli,Summer
24,312,Umm Al Qaiwain,2,Kids,Dreamland Aqua Park,Summer
69,88,Sharjah,9,Landmark,Jebel Hafeet,Summer
6,215,Umm Al Qaiwain,10,Kids,Kidzania,Winter
41,368,Sharjah,4,Kids,Ferrari World,Summer
68,200,Abu Dhabi,1,Kids,Miracle Garden,Summer
32,231,Abu Dhabi,7,Shopping,Mall of the Emirates,Winter
38,59,Umm Al Qaiwain,2,Outdoor,Al Qudra Lakes,Summer
32,106,Sharjah,8,Outdoor,Liwa Oasis,Summer
13,279,Ras Al Khaimah,6,Kids,Ski Dubai,Summer
69,153,Abu Dhabi,10,Landmark,Dubai Frame,Winter
13,495,Sharjah,10,Kids,Yas Waterworld,Winter
9,452,Ras Al Khaimah,2,Kids,Warner Bros World,Summer
76,25,Sharjah,2,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
9,164,Abu Dhabi,6,Kids,OliOli,Winter
35,57,Umm Al Qaiwain,3,Historical,Sharjah Museum of Islamic Civilization,Summer
16,656,Abu Dhabi,1,Historical,Emirates Palace,Summer
42,197,Umm Al Qaiwain,1,Outdoor,Miracle Garden,Winter
46,181,Ras Al Khaimah,10,Landmark,Louvre Abu Dhabi,Winter
37,80,Ras Al Khaimah,2,Kids,Sharjah Aquarium,Summer
33,160,Fujairah,9,Outdoor,Wadi Shawka,Winter
37,487,Abu Dhabi,2,Kids,Yas Waterworld,Summer
70,628,Abu Dhabi,10,Landmark,Louvre Abu Dhabi,Summer
70,140,Ajman,9,Historical,Hatta Heritage Village,Winter
32,27,Fujairah,3,Outdoor,Saadiyat Island,Winter
20,82,Abu Dhabi,6,Historical,Umm Al Quwain Fort and Museum,Winter
45,76,Abu Dhabi,10,Historical,Sharjah Museum of Islamic Civilization,Summer
29,163,Ras Al Khaimah,6,Kids,Bounce Dubai,Winter
90,37,Ajman,10,Historical,Dubai Creek,Winter
27,316,Sharjah,10,Kids,Ski Dubai,Summer
19,189,Umm Al Qaiwain,9,Landmark,Madinat Jumeirah,Winter
38,2496,Dubai,5,Shopping,Mall of the Emirates,Winter
41,139,Ras Al Khaimah,6,Landmark,Ajman Beach,Summer
41,286,Ajman,8,Historical,Sharjah Art Museum,Summer
22,346,Fujairah,10,Kids,Ski Dubai,Summer
39,81,Abu Dhabi,4,Historical,Qasr Al Hosn,Winter
41,77,Umm Al Qaiwain,6,Outdoor,Jumeirah Beach Residence,Winter
38,120,Fujairah,5,Historical,Sharjah Art Museum,Summer
66,156,Ras Al Khaimah,7,Landmark,Sheikh Zayed Grand Mosque,Summer
10,35,Abu Dhabi,8,Historical,Dubai Creek,Summer
74,252,Dubai,7,Shopping,Madinat Jumeirah,Summer
46,36,Ras Al Khaimah,3,Historical,Al Noor Mosque,Summer
17,322,Ajman,9,Kids,Dreamland Aqua Park,Summer
40,106,Sharjah,8,Outdoor,Jebel Hafeet,Winter
67,32,Umm Al Qaiwain,8,Historical,Dubai Creek,Winter
12,4457,Sharjah,2,Shopping,Yas Mall,Summer
7,63,Dubai,4,Landmark,Al Noor Mosque,Summer
10,15,Fujairah,1,Landmark,Al Bidya Mosque,Summer
48,619,Ras Al Khaimah,3,Kids,Ferrari World,Summer
50,177,Ajman,2,Outdoor,Al Ain Zoo,Summer
59,430,Abu Dhabi,5,Shopping,Dubai Mall,Winter
43,102,Umm Al Qaiwain,10,Landmark,Jumeirah Beach Residence,Summer
47,246,Ras Al Khaimah,3,Historical,Wadi Adventure,Winter
34,270,Abu Dhabi,5,Historical,Sharjah Art Museum,Summer
16,115,Dubai,2,Kids,Bounce Dubai,Summer
36,639,Ajman,10,Historical,The Dubai Opera,Summer
43,656,Sharjah,6,Landmark,Burj Khalifa,Winter
66,49,Ras Al Khaimah,9,Historical,Umm Al Quwain Fort and Museum,Winter
61,89,Umm Al Qaiwain,1,Kids,Atlantis The Palm,Summer
15,48,Sharjah,5,Kids,Childrens City,Summer
71,101,Umm Al Qaiwain,1,Historical,Liwa Oasis,Summer
79,147,Dubai,6,Landmark,Fujairah Fort,Winter
35,167,Sharjah,7,Historical,Qasr Al Watan,Winter
76,70,Dubai,2,Landmark,Qasr Al Hosn,Summer
36,255,Sharjah,6,Kids,Ski Dubai,Summer
15,409,Abu Dhabi,6,Kids,Kidzania,Winter
18,226,Umm Al Qaiwain,3,Outdoor,Al Ain Zoo,Summer
31,193,Sharjah,10,Kids,Al Ain Zoo,Winter
62,507,Sharjah,5,Landmark,Louvre Abu Dhabi,Summer
39,216,Ras Al Khaimah,6,Historical,Sharjah Art Museum,Summer
29,112,Sharjah,8,Outdoor,Al Marmoom Desert Conservation Reserve,Summer
64,101,Dubai,8,Landmark,Hatta Dam,Winter
19,22,Umm Al Qaiwain,4,Landmark,Dubai Fountain,Summer
4,83,Fujairah,6,Landmark,Jebel Hafeet,Winter
19,394,Umm Al Qaiwain,10,Kids,Yas Waterworld,Summer
40,141,Dubai,1,Outdoor,Jebel Jais,Winter
5,156,Abu Dhabi,9,Kids,Bounce Dubai,Summer
32,555,Fujairah,4,Kids,Ferrari World,Winter
60,181,Ajman,7,Landmark,Al Bidya Mosque,Winter
77,2134,Abu Dhabi,5,Shopping,Yas Mall,Summer
65,428,Dubai,10,Historical,The Dubai Opera,Summer
30,718,Umm Al Qaiwain,3,Landmark,Emirates Palace,Summer
15,49,Sharjah,4,Historical,Al Bidya Mosque,Winter
52,458,Abu Dhabi,1,Historical,Wadi Adventure,Summer
57,56,Dubai,7,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
7,437,Ras Al Khaimah,1,Landmark,Burj Khalifa,Summer
63,579,Fujairah,2,Landmark,Atlantis The Palm,Winter
12,119,Ras Al Khaimah,6,Landmark,Dubai Fountain,Winter
64,70,Umm Al Qaiwain,10,Historical,Hatta Heritage Village,Summer
45,79,Dubai,5,Historical,Ajman Museum,Winter
41,119,Ajman,5,Historical,Al Jazirah Al Hamra,Summer
7,404,Fujairah,1,Kids,Kidzania,Summer
40,344,Dubai,2,Historical,Liwa Oasis,Winter
74,151,Ajman,5,Landmark,Madinat Jumeirah,Winter
75,126,Fujairah,6,Historical,Al Jazirah Al Hamra,Summer
9,170,Ras Al Khaimah,3,Landmark,Wadi Shawka,Winter
56,75,Abu Dhabi,4,Outdoor,Saadiyat Island,Summer
17,210,Ajman,5,Landmark,Burj Khalifa,Winter
12,55,Fujairah,2,Kids,Childrens City,Summer
38,99,Sharjah,2,Kids,Miracle Garden,Winter
29,166,Ajman,9,Outdoor,Ajman Beach,Winter
9,643,Sharjah,10,Landmark,Burj Khalifa,Winter
41,43,Sharjah,3,Landmark,Madinat Jumeirah,Summer
73,467,Ajman,8,Landmark,Emirates Palace,Winter
9,244,Umm Al Qaiwain,2,Kids,OliOli,Summer
55,398,Dubai,1,Outdoor,Liwa Oasis,Winter
74,2661,Umm Al Qaiwain,8,Shopping,Mall of the Emirates,Summer
25,3666,Umm Al Qaiwain,1,Landmark,Burj Al Arab,Summer
18,66,Fujairah,4,Historical,Jumeirah Mosque,Summer
34,117,Dubai,1,Historical,Sharjah Museum of Islamic Civilization,Winter
5,364,Ras Al Khaimah,7,Kids,Kidzania,Winter
16,96,Abu Dhabi,4,Landmark,Wadi Shawka,Summer
46,186,Abu Dhabi,4,Landmark,Hatta Heritage Village,Summer
19,201,Fujairah,7,Landmark,Dubai Frame,Summer
9,45,Dubai,6,Landmark,Jumeirah Mosque,Winter
9,398,Abu Dhabi,3,Kids,Legoland Dubai,Winter
99,128,Abu Dhabi,7,Landmark,Wadi Shawka,Summer
58,217,Abu Dhabi,3,Outdoor,Al Ain Oasis,Winter
17,109,Fujairah,8,Kids,Sharjah Aquarium,Summer
46,964,Fujairah,2,Shopping,Gold Souk,Winter
86,216,Umm Al Qaiwain,4,Outdoor,Al Qudra Lakes,Summer
74,115,Dubai,3,Landmark,Hatta Heritage Village,Winter
11,119,Ras Al Khaimah,3,Kids,Bounce Dubai,Winter
41,305,Ajman,4,Kids,Atlantis The Palm,Summer
16,1345,Dubai,8,Landmark,Atlantis The Palm,Summer
28,139,Sharjah,4,Historical,Hatta Heritage Village,Winter
93,93,Umm Al Qaiwain,1,Outdoor,Ajman Beach,Winter
35,24,Abu Dhabi,2,Kids,Ras Al Khor Wildlife Sanctuary,Summer
35,150,Fujairah,1,Landmark,Dubai Frame,Summer
33,112,Fujairah,4,Historical,Al Jazirah Al Hamra,Summer
46,146,Sharjah,9,Historical,Al Jazirah Al Hamra,Summer
10,194,Umm Al Qaiwain,3,Landmark,Sheikh Zayed Grand Mosque,Summer
44,446,Abu Dhabi,10,Kids,Warner Bros World,Winter
54,237,Sharjah,5,Kids,Al Ain Zoo,Summer
37,2978,Abu Dhabi,2,Shopping,Yas Mall,Summer
23,45,Ajman,5,Outdoor,Saadiyat Island,Winter
50,170,Abu Dhabi,5,Landmark,Al Bidya Mosque,Winter
8,227,Dubai,2,Kids,Kidzania,Summer
84,54,Sharjah,5,Kids,Ras Al Khor Wildlife Sanctuary,Winter
58,1593,Dubai,2,Kids,Global Village,Summer
95,48,Umm Al Qaiwain,7,Kids,Ras Al Khor Wildlife Sanctuary,Winter
62,217,Ajman,7,Landmark,Al Bidya Mosque,Summer
24,130,Dubai,9,Historical,Ajman Museum,Summer
68,95,Dubai,1,Historical,Sharjah Art Museum,Summer
12,282,Abu Dhabi,1,Outdoor,Al Ain Zoo,Summer
65,119,Abu Dhabi,2,Landmark,Dubai Frame,Winter
38,126,Abu Dhabi,9,Historical,Al Jazirah Al Hamra,Summer
27,356,Ras Al Khaimah,5,Historical,Wadi Adventure,Winter
61,51,Fujairah,7,Historical,Al Noor Mosque,Summer
25,603,Ras Al Khaimah,7,Kids,Ferrari World,Winter
17,464,Ajman,7,Kids,IMG Worlds of Adventure,Winter
22,334,Sharjah,1,Kids,Dreamland Aqua Park,Summer
29,323,Ras Al Khaimah,3,Kids,Ski Dubai,Winter
31,3529,Umm Al Qaiwain,5,Landmark,Burj Al Arab,Summer
9,936,Abu Dhabi,6,Outdoor,Global Village,Summer
4,220,Sharjah,8,Kids,Kidzania,Winter
5,361,Ajman,8,Kids,Dreamland Aqua Park,Winter
19,107,Fujairah,2,Landmark,Hatta Heritage Village,Summer
36,93,Dubai,8,Kids,Sharjah Aquarium,Winter
62,130,Dubai,6,Kids,Miracle Garden,Summer
7,320,Fujairah,7,Kids,IMG Worlds of Adventure,Summer
64,3712,Fujairah,7,Historical,Burj Al Arab,Winter
22,36,Umm Al Qaiwain,7,Outdoor,Liwa Oasis,Winter
74,1623,Dubai,7,Shopping,Yas Mall,Winter
23,444,Fujairah,4,Kids,Ferrari World,Winter
32,43,Dubai,10,Historical,Umm Al Quwain Fort and Museum,Summer
45,108,Fujairah,6,Landmark,Jumeirah Mosque,Winter
76,131,Abu Dhabi,8,Kids,Butterfly Garden,Winter
30,444,Umm Al Qaiwain,5,Kids,Dreamland Aqua Park,Summer
39,677,Dubai,4,Kids,Yas Waterworld,Summer
71,62,Abu Dhabi,8,Outdoor,Hatta Dam,Summer
53,76,Ajman,4,Landmark,Hatta Heritage Village,Winter
51,78,Sharjah,6,Landmark,Fujairah Fort,Winter
44,676,Dubai,3,Kids,Yas Waterworld,Winter
79,63,Fujairah,1,Historical,Jumeirah Mosque,Summer
34,244,Fujairah,9,Landmark,Dubai Frame,Winter
15,385,Ajman,2,Kids,Warner Bros World,Summer
58,122,Ajman,1,Landmark,Sheikh Zayed Grand Mosque,Summer
92,138,Ras Al Khaimah,2,Outdoor,Jumeirah Beach Residence,Winter
31,1780,Umm Al Qaiwain,4,Shopping,Yas Mall,Summer
19,404,Dubai,8,Kids,Warner Bros World,Winter
29,51,Umm Al Qaiwain,10,Landmark,Madinat Jumeirah,Summer
26,126,Fujairah,4,Historical,Al Jazirah Al Hamra,Winter
47,168,Ras Al Khaimah,4,Kids,Bounce Dubai,Summer
42,621,Ras Al Khaimah,9,Kids,Ferrari World,Winter
12,75,Dubai,5,Historical,Dubai Museum at Al Fahidi Fort,Summer
87,227,Abu Dhabi,1,Shopping,Mall of the Emirates,Winter
87,91,Dubai,8,Outdoor,Al Qudra Lakes,Winter
6,44,Fujairah,1,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
72,64,Sharjah,1,Kids,Ras Al Khor Wildlife Sanctuary,Summer
42,487,Ras Al Khaimah,1,Historical,The Dubai Opera,Summer
29,135,Dubai,7,Landmark,Fujairah Fort,Winter
16,971,Umm Al Qaiwain,5,Landmark,Atlantis The Palm,Winter
43,133,Fujairah,10,Outdoor,Hatta Heritage Village,Summer
54,206,Ajman,7,Outdoor,Ajman Beach,Summer
48,351,Ras Al Khaimah,8,Kids,Wadi Adventure,Winter
99,130,Fujairah,4,Kids,Butterfly Garden,Summer
52,268,Abu Dhabi,2,Landmark,Burj Khalifa,Summer
79,3290,Dubai,5,Shopping,Dubai Mall,Summer
10,12,Ras Al Khaimah,8,Landmark,Hatta Dam,Summer
15,473,Sharjah,7,Kids,Dreamland Aqua Park,Summer
30,407,Fujairah,4,Kids,IMG Worlds of Adventure,Winter
62,1103,Dubai,3,Landmark,Sir Bani Yas Island,Winter
21,1024,Umm Al Qaiwain,5,Shopping,Yas Mall,Winter
34,272,Sharjah,9,Historical,Sharjah Art Museum,Winter
51,168,Ras Al Khaimah,5,Landmark,Ajman Beach,Winter
29,3324,Sharjah,9,Outdoor,Sir Bani Yas Island,Summer
29,88,Dubai,2,Historical,Jumeirah Mosque,Winter
10,473,Sharjah,8,Kids,Yas Waterworld,Winter
12,279,Umm Al Qaiwain,8,Historical,Liwa Oasis,Summer
25,138,Ras Al Khaimah,7,Landmark,Dubai Fountain,Winter
53,131,Sharjah,2,Landmark,Ajman Beach,Summer
50,41,Ras Al Khaimah,3,Historical,Hatta Heritage Village,Summer
53,156,Fujairah,6,Kids,Miracle Garden,Summer
2,4266,Fujairah,2,Shopping,Yas Mall,Winter
14,316,Ras Al Khaimah,4,Kids,Dreamland Aqua Park,Summer
35,461,Ras Al Khaimah,3,Kids,Warner Bros World,Winter
25,34,Fujairah,7,Landmark,Dubai Fountain,Winter
62,4445,Umm Al Qaiwain,3,Shopping,Gold Souk,Summer
60,35,Umm Al Qaiwain,5,Landmark,Dubai Fountain,Winter
73,73,Sharjah,9,Historical,Umm Al Quwain Fort and Museum,Winter
79,91,Ras Al Khaimah,7,Historical,Al Jazirah Al Hamra,Summer
67,216,Umm Al Qaiwain,2,Historical,Liwa Oasis,Winter
30,555,Umm Al Qaiwain,6,Kids,Global Village,Summer
25,201,Fujairah,7,Landmark,Burj Khalifa,Winter
75,58,Abu Dhabi,8,Historical,Sharjah Art Museum,Winter
17,1686,Umm Al Qaiwain,4,Kids,Global Village,Winter
52,39,Ras Al Khaimah,6,Landmark,Al Bidya Mosque,Winter
8,342,Sharjah,4,Kids,Kidzania,Summer
18,73,Dubai,5,Historical,Ajman Museum,Winter
27,608,Ras Al Khaimah,8,Outdoor,Liwa Oasis,Summer
64,2938,Ras Al Khaimah,1,Outdoor,Sir Bani Yas Island,Summer
43,197,Ras Al Khaimah,4,Outdoor,Jebel Jais,Summer
23,169,Ajman,5,Historical,Al Ain Oasis,Summer
63,103,Sharjah,5,Kids,Butterfly Garden,Summer
33,1432,Dubai,3,Landmark,Sir Bani Yas Island,Summer
73,196,Umm Al Qaiwain,10,Outdoor,Jumeirah Beach Residence,Summer
8,236,Sharjah,6,Kids,Kidzania,Winter
17,59,Ajman,9,Historical,Dubai Creek,Summer
79,1560,Ajman,2,Landmark,Emirates Palace,Winter
74,91,Abu Dhabi,3,Landmark,Jumeirah Mosque,Summer
40,226,Umm Al Qaiwain,3,Kids,Dreamland Aqua Park,Winter
42,123,Dubai,9,Landmark,Saadiyat Island,Summer
43,64,Sharjah,4,Landmark,Sheikh Zayed Grand Mosque,Winter
85,4530,Umm Al Qaiwain,9,Shopping,Yas Mall,Summer
28,226,Umm Al Qaiwain,5,Shopping,Madinat Jumeirah,Summer
92,110,Abu Dhabi,2,Outdoor,Al Marmoom Desert Conservation Reserve,Summer
10,278,Sharjah,8,Kids,Ski Dubai,Summer
70,741,Ras Al Khaimah,1,Landmark,Burj Khalifa,Summer
97,1196,Fujairah,4,Shopping,Gold Souk,Summer
60,561,Ajman,10,Landmark,Louvre Abu Dhabi,Summer
37,69,Sharjah,1,Landmark,Fujairah Fort,Winter
60,100,Umm Al Qaiwain,1,Landmark,Madinat Jumeirah,Summer
44,2277,Ajman,2,Landmark,Burj Al Arab,Winter
48,181,Dubai,1,Landmark,Al Bidya Mosque,Summer
29,2387,Ajman,1,Shopping,Mall of the Emirates,Summer
11,125,Umm Al Qaiwain,7,Landmark,Dubai Museum at Al Fahidi Fort,Winter
5,154,Umm Al Qaiwain,6,Historical,Al Ain Oasis,Summer
71,1426,Abu Dhabi,7,Landmark,Emirates Palace,Winter
4,32,Fujairah,8,Kids,Childrens City,Summer
59,51,Ajman,4,Historical,Qasr Al Hosn,Summer
84,4373,Umm Al Qaiwain,3,Shopping,Yas Mall,Summer
18,149,Abu Dhabi,1,Historical,Al Jazirah Al Hamra,Winter
20,4379,Ras Al Khaimah,5,Shopping,Yas Mall,Summer
35,893,Dubai,1,Shopping,Yas Mall,Winter
20,56,Dubai,8,Historical,Al Jazirah Al Hamra,Summer
100,776,Umm Al Qaiwain,7,Shopping,Gold Souk,Summer
68,563,Abu Dhabi,6,Outdoor,Liwa Oasis,Winter
27,2453,Fujairah,5,Outdoor,Global Village,Summer
68,83,Fujairah,7,Kids,Miracle Garden,Winter
54,150,Ajman,8,Historical,Sheikh Zayed Grand Mosque,Winter
21,103,Ras Al Khaimah,10,Landmark,Jebel Jais,Winter
48,390,Dubai,4,Historical,The Dubai Opera,Summer
15,2476,Dubai,7,Historical,Burj Al Arab,Summer
72,65,Fujairah,1,Historical,Sharjah Museum of Islamic Civilization,Winter
68,45,Ras Al Khaimah,9,Landmark,Jumeirah Beach Residence,Winter
70,52,Umm Al Qaiwain,7,Landmark,Jumeirah Mosque,Winter
48,133,Fujairah,6,Kids,Al Ain Zoo,Summer
46,37,Fujairah,10,Outdoor,Jumeirah Beach Residence,Winter
68,99,Fujairah,6,Kids,Butterfly Garden,Summer
29,40,Umm Al Qaiwain,2,Landmark,Hatta Heritage Village,Summer
63,2122,Abu Dhabi,9,Shopping,Mall of the Emirates,Summer
28,282,Umm Al Qaiwain,2,Kids,Ski Dubai,Winter
18,152,Abu Dhabi,5,Kids,The Green Planet,Winter
49,668,Fujairah,10,Landmark,Burj Khalifa,Summer
58,284,Ajman,4,Outdoor,Liwa Oasis,Summer
2,3088,Abu Dhabi,8,Shopping,Mall of the Emirates,Summer
36,123,Fujairah,2,Kids,Sharjah Aquarium,Summer
34,222,Dubai,9,Landmark,Louvre Abu Dhabi,Summer
20,568,Fujairah,9,Historical,Emirates Palace,Winter
6,220,Fujairah,1,Kids,Kidzania,Summer
48,267,Ras Al Khaimah,9,Landmark,Louvre Abu Dhabi,Winter
23,285,Sharjah,4,Outdoor,Al Ain Zoo,Winter
98,3178,Ajman,8,Shopping,Yas Mall,Winter
30,72,Fujairah,2,Historical,Umm Al Quwain Fort and Museum,Summer
39,145,Fujairah,6,Outdoor,Wadi Shawka,Summer
23,95,Fujairah,6,Historical,Sharjah Museum of Islamic Civilization,Summer
6,62,Sharjah,4,Shopping,Dubai Mall,Winter
12,406,Fujairah,3,Kids,Kidzania,Summer
25,427,Ras Al Khaimah,3,Kids,IMG Worlds of Adventure,Summer
43,125,Ras Al Khaimah,7,Outdoor,Al Qudra Lakes,Summer
82,112,Abu Dhabi,6,Outdoor,Jebel Hafeet,Winter
79,32,Abu Dhabi,6,Historical,Al Noor Mosque,Winter
8,578,Dubai,1,Kids,Yas Waterworld,Summer
7,358,Fujairah,2,Kids,Kidzania,Summer
18,33,Ras Al Khaimah,2,Kids,Ras Al Khor Wildlife Sanctuary,Summer
36,698,Umm Al Qaiwain,4,Kids,Ferrari World,Summer
3,37,Umm Al Qaiwain,6,Kids,Childrens City,Winter
65,125,Ajman,5,Kids,Butterfly Garden,Winter
9,124,Ajman,2,Kids,Bounce Dubai,Summer
61,339,Umm Al Qaiwain,10,Historical,The Dubai Opera,Winter
38,119,Abu Dhabi,3,Outdoor,Al Ain Zoo,Winter
31,55,Sharjah,8,Landmark,Jebel Jais,Winter
92,186,Abu Dhabi,2,Landmark,Hatta Heritage Village,Summer
69,141,Ras Al Khaimah,7,Historical,Al Jazirah Al Hamra,Winter
40,2499,Ras Al Khaimah,9,Shopping,Gold Souk,Summer
42,67,Abu Dhabi,1,Historical,Sharjah Museum of Islamic Civilization,Summer
59,200,Fujairah,10,Outdoor,Jumeirah Beach Residence,Summer
11,150,Abu Dhabi,8,Historical,Sheikh Zayed Grand Mosque,Summer
52,234,Umm Al Qaiwain,8,Landmark,Louvre Abu Dhabi,Summer
85,73,Ajman,3,Landmark,Jebel Hafeet,Summer
